Inner Track (x),Inner Track (y),Outer Track (x),Outer Track (y),Mid Track (x),Mid track (y)
-1.08673102899031,-45.9871614221908,-1.1812293793373,-49.9860450241204,-1.13398020416381,-47.9866032231556
-1.4247030759539,-45.9779318928697,-1.54859029994989,-49.9760129270323,-1.4866466879519,-47.976972409951
-1.76259815778517,-45.9662185494323,-1.91586756280997,-49.9632810319916,-1.83923286029757,-47.9647497907119
-2.10039802075805,-45.9520220246552,-2.28304132691093,-49.9478500267991,-2.19171967383449,-47.9499360257272
-2.43808441629038,-45.9353430854613,-2.65009175683737,-49.9297207450667,-2.54408808656387,-47.932531915264
-2.7756391019297,-45.9161826328783,-3.01699902383663,-49.9088941661721,-2.89631906288316,-47.9125383995252
-3.11304384233878,-45.8945417019898,-3.38374330688998,-49.8853714152063,-3.24839357461438,-47.889956558598
-3.45028041028072,-45.8704214618793,-3.75030479378339,-49.8591537629122,-3.60029260203205,-47.8647876123957
-3.78733058760358,-45.8438232155675,-4.11666368217781,-49.8302426256168,-3.95199713489069,-47.8370329205921
-4.12417616622466,-45.8147483999415,-4.48280018067898,-49.7986395651538,-4.30348817345182,-47.8066939825477
-4.46079894911397,-45.7831985856775,-4.84869450990649,-49.7643462887799,-4.65474672951023,-47.7737724372287
-4.79718075127745,-45.7491754771556,-5.21432690356244,-49.7273646490821,-5.00575382741995,-47.7382700631189
-5.13330340073922,-45.7126809123678,-5.57967760949915,-49.6876966438781,-5.35649050511918,-47.700188778123
-5.46914873952332,-45.6737168628191,-5.94472689078622,-49.6453444161078,-5.70693781515477,-47.6595306394635
-5.80469862463466,-45.6322854334205,-6.30945502677681,-49.600310253718,-6.05707682570574,-47.6162978435693
-6.13993492903909,-45.5883888623755,-6.67384231417292,-49.5525965895386,-6.406888621606,-47.5704927259571
-6.47483954264267,-45.5420295210592,-7.03786906808986,-49.5022060011513,-6.75635430536626,-47.5221177611053
-6.80939437327003,-45.4932099138902,-7.4015156231196,-49.4491412107502,-7.10545499819482,-47.4711755623202
-7.14358134764175,-45.4419326781952,-7.76476233439321,-49.3934050849948,-7.45417184101748,-47.417668881595
-7.47738241235067,-45.3882005840667,-8.12758957864203,-49.3350006348551,-7.80248599549635,-47.3616006094609
-7.8107795348372,-45.3320165342131,-8.48997775525782,-49.273931015449,-8.15037864504751,-47.302973774831
-8.14375470436345,-45.2733835638022,-8.85190728735158,-49.210199525872,-8.49783099585752,-47.2417915448371
-8.47628993298628,-45.2123048402971,-9.21335862281118,-49.1438096090186,-8.84482427789873,-47.1780572246579
-8.8083672565289,-45.148783663285,-9.5743122353575,-49.0747648513967,-9.1913397459432,-47.1117742573409
-9.13996873555148,-45.0828234642989,-9.93474862559944,-49.0030689829336,-9.53735868057546,-47.0429462236163
-9.47107645632017,-45.0144278066326,-10.2946483220871,-48.9287258767746,-9.88286238920366,-46.9715768417036
-9.80167253177487,-44.9436003851477,-10.653991882364,-48.8517395490736,-10.2278322070694,-46.8976699671107
-10.1317391024955,-44.8703450260744,-11.0127598940169,-48.7721141587766,-10.5722494982562,-46.8212295924255
-10.4612583376669,-44.7946656868047,-11.3709329757249,-48.6898540073964,-10.9160956566959,-46.7422598471005
-10.7902124360419,-44.7165664556782,-11.7284917783064,-48.6049635387807,-11.2593521071742,-46.6607649972294
-11.1185836269031,-44.6360515517621,-12.0854169857643,-48.5174473388718,-11.6020003063337,-46.5767494453169
-11.446354171023,-44.5531253246223,-12.4416893163293,-48.4273101354591,-11.9440217436761,-46.4902177300407
-11.7735063616218,-44.4677922540894,-12.797289523502,-48.3345567979232,-12.2853979425619,-46.4011745260063
-12.1000225253249,-44.3800569500156,-13.1521983970923,-48.2391923369735,-12.6261104612086,-46.3096246434946
-12.4258850231164,-44.2899241520268,-13.506396764257,-48.141221904377,-12.9661408936867,-46.2155730282019
-12.7510762512932,-44.1973987292658,-13.8598654905361,-48.0406507926802,-13.3054708709147,-46.119024760973
-13.0755786424152,-44.1024856801294,-14.2125854808861,-47.9374844349232,-13.6440820616506,-46.0199850575263
-13.3993746662545,-44.0051901319985,-14.5645376807114,-47.8317284043462,-13.981956173483,-45.9184592681723
-13.7224468307427,-43.9055173409612,-14.9157030768942,-47.7233884140882,-14.3190749538185,-45.8144528775247
-14.0447776829154,-43.8034726915285,-15.2660626988211,-47.6124703168788,-14.6554201908683,-45.7079715042036
-14.3663498098555,-43.6990616963438,-15.6155976194082,-47.4989801047215,-14.9909737146319,-45.5990209005327
